198503,107.966,198503,11.36,198503,0.417,198503,0.051
198504,100.317,198504,12.773,198504,0.388,198504,0.049
198505,107.595,198505,12.873,198505,0.41,198505,0.041
198506,113.584,198506,15.369,198506,0.474,198506,0.066
198507,126.626,198507,18.316,198507,0.473,198507,0.06
198508,124.309,198508,19.303,198508,0.57,198508,0.058
198509,111.9,198509,14.994,198509,0.417,198509,0.074
198510,108.331,198510,13.588,198510,0.413,198510,0.072
198511,107.034,198511,12.57,198511,0.435,198511,0.072
198512,124.95,198512,11.505,198512,0.614,198512,0.062
198513,1367.401,198513,166.306,198513,6.236,198513,0.712
198601,126.887,198601,10.037,198601,0.719,198601,0.047
198602,109.086,198602,8.565,198602,0.469,198602,0.046
198603,106.803,198603,9.247,198603,0.395,198603,0.071
198604,95.341,198604,10.802,198604,0.38,198604,0.071
198605,101.892,198605,12.581,198605,0.515,198605,0.077
198606,116.698,198606,14.153,198606,0.592,198606,0.075
198607,134.789,198607,16.366,198607,0.736,198607,0.081
198608,122.28,198608,15.016,198608,0.49,198608,0.097
198609,112.03,198609,13.406,198609,0.472,198609,0.096
198610,107.235,198610,11.775,198610,0.37,198610,0.08
198611,107.317,198611,10.149,198611,0.458,198611,0.105
198612,117.127,198612,9.519,198612,0.507,198612,0.116
198613,1357.485,198613,141.677,198613,6.104,198613,0.962
198701,124.043,198701,10.061,198701,0.561,198701,0.086
198702,106.754,198702,8.628,198702,0.489,198702,0.088
198703,108.607,198703,10.397,198703,0.523,198703,0.085
198704,102.222,198704,11.237,198704,0.44,198704,0.071
198705,112.257,198705,13.2,198705,0.504,198705,0.095
198706,126.2,198706,15.419,198706,0.599,198706,0.08
198707,140.582,198707,17.342,198707,0.884,198707,0.087
198708,139.268,198708,18.4,198708,0.702,198708,0.096
198709,117.773,198709,14.572,198709,0.394,198709,0.095
198710,113.515,198710,12.95,198710,0.38,198710,0.109
198711,111.217,198711,11.79,198711,0.557,198711,0.084
198712,124.314,198712,10.664,198712,0.514,198712,0.094
198713,1426.753,198713,154.709,198713,6.548,198713,1.069
198801,133.468,198801,9.088,198801,0.98,198801,0.074
198802,120.783,198802,9.202,198802,0.484,198802,0.083
198803,115.584,198803,11.065,198803,0.445,198803,0.11
198804,106.49,198804,10.811,198804,0.343,198804,0.101
198805,111.2,198805,13.006,198805,0.425,198805,0.101
198806,128.537,198806,15.197,198806,0.791,198806,0.129
198807,141.139,198807,17.776,198807,0.828,198807,0.143
198808,148.031,198808,18.655,198808,1.367,198808,0.125
198809,121.057,198809,12.613,198809,0.428,198809,0.095
198810,117.165,198810,9.838,198810,0.469,198810,0.092
198811,116.659,198811,8.15,198811,0.512,198811,0.095
198812,131.695,198812,7.448,198812,0.926,198812,0.111
198813,1491.807,198813,142.861,198813,7.997,198813,1.258
198901,132.233,198901,8.89,198901,0.898,198901,0.145
198902,124.345,198902,10.42,198902,1.061,198902,0.1
198903,122.803,198903,12.758,198903,1.176,198903,0.107
198904,111.194,198904,14.187,198904,0.457,198904,0.116
198905,115.915,198905,15.128,198905,0.665,198905,0.109
198906,126.031,198906,15.696,198906,0.905,198906,0.117
198907,138.083,198907,19.29,198907,0.953,198907,0.179
198908,139.614,198908,18.679,198908,0.669,198908,0.177
